"RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount","Time"
6317835,124,11,29,"GOLDEN",51.32189,-116.98707,67,2,1,1
6350618,124,11,401,"SALT SPR. IS",48.74932,-123.54811,240,5,7,1
6340633,124,11,621,"KAMLOOPS",50.57455,-120.08938,1876,25,125,1
6317284,124,4,208,"ENCHANT",50.16448,-112.31428,34,1,2,1
6317289,124,4,209,"ENSIGN",50.48464,-113.39021,77,3,3,1
6319604,124,4,220,"BASHAW",52.52175,-112.85969,13,0,1,1
6319687,124,4,229,"CALMAR",53.3377,-113.85339,0,30,3,1
6317997,124,4,309,"CLEAR LAKE",50.01932,-113.39054,15,1,1,1
6319269,124,4,311,"CHINOOK",51.44452,-110.91913,5,1,8,1
6317906,124,4,408,"ROSEMARY",50.92147,-112.17449,9,4,18,1
6317814,124,4,9,"BUFFALO HILL",50.60147,-113.02852,10,0,3,1
6319719,124,45,111,"ELVA",49.28134,-101.30176,0,0,2,1
6318814,124,45,20,"POPE",50.04899,-100.78298,2,1,1,1
6319562,124,45,218,"BIRNIE",50.58765,-99.44659,1,9,2,1
6319608,124,45,307,"Hilton",49.48794,-99.81088,24,2,1,1
6319055,124,45,313,"Lac du Bonnet",50.14935,-96.17788,12,0,4,1
6319161,124,45,48,"TWIN CREEKS",52.82173,-99.00618,9,0,1,1
6319109,124,45,5,"JORDAN",49.38436,-98.02424,22,2,3,1
6319599,124,45,7,"MATHER",49.04413,-99.21111,7,0,4,1
6319121,124,62,16,"MAGUSE",61.09635,-93.98366,1,0,1,1
6319101,124,65,117,"SHUBENACADIE",45.29564,-63.44884,64,0,1,1
6340837,124,68,207,"BRANTFORD",43.14654,-80.20405,20,0,2,1
6319061,124,68,220,"SUNNIDALE CO",44.43382,-80.01264,10,5,2,1
6318191,124,68,248,"MATACHEWAN",47.95967,-80.69264,25,4,325,1
6319543,124,76,100,"NATASHQUAN",50.21951,-61.99508,11,0,4,1
6317308,124,76,136,"VAN-BRUYSSEL",47.4504,-72.82739,25,1,1,1
6318928,124,76,79,"RIVIÈRE MISTASSIBI",49.94058,-71.94115,6,0,1,1
6318785,124,79,106,"WOOD RIVER",49.96035,-106.55085,9,0,1,1
6317941,124,79,117,"TOMPKINS",50.31006,-108.9352,12,1,22,1
6318336,124,79,217,"WHITE BEAR",50.92153,-108.07043,17,0,212,1
6318904,840,14,140,"CARRIZO PLN",35.0931687,-119.7298739,5,0,11,1
6318277,840,14,159,"OROVILLE",39.4978958,-121.6093062,90,4,14,1
6317900,840,14,16,"RIOVISTA",38.0878897,-121.7519384,31,4,22,1
6318920,840,14,166,"DORRIS",41.9998861,-121.8916067,50,0,3,1
6318231,840,14,172,"MORAGA",37.8183531,-122.1464708,398,0,6,1
6341373,840,14,179,"YOLLA BOLLY",40.0279597,-122.6387259,60,0,30,1
6318967,840,14,189,"COYOTE",37.2521703,-121.6774341,137,0,10,1
6319273,840,14,190,"COPPEROPOLIS",37.9834939,-120.6452578,284,1,13,1
6317396,840,14,193,"BODEGA BAY",38.3407717,-123.0480649,74,0,3,1
6317230,840,14,21,"HUGHSON",37.5947824,-120.860951,30,0,12,1
6341399,840,14,352,"STATEN IS.",38.1231944,-121.525076,65,0,1,1
6319467,840,14,409,"BURNT RANCH",40.8031297,-123.4827189,4,3,1,1
6341413,840,14,419,"POLLOCK PINES",38.7396833,-120.5734077,22,1,1,1
6316743,840,14,49,"PALO VERDE",33.4048617,-114.7292329,69,0,78,1
6319703,840,14,51,"ANZA BORREGO",32.903954,-116.23272,13,0,3,1
6317419,840,14,59,"INYOKERN",35.6076917,-117.800197,12,0,2,1
6341327,840,14,64,"TECOPA",35.8040435,-116.1930811,10,0,1,1
6316911,840,14,80,"ORLAND",39.7633427,-122.2390059,51,5,8,1
6316765,840,14,83,"FAIRFAX",37.9851247,-122.5909499,125,2,33,1
6316744,840,14,89,"NILAND",33.2200507,-115.4847789,16,1,341,1
6319079,840,14,900,"IRON GATE",41.9024247,-122.5631179,16,0,2,1
6317648,840,14,907,"CHOLLA GARD.",33.9250177,-115.9269019,44,5,6,1
6316901,840,14,97,"ONO",40.5164906,-122.3819302,27,0,9,1
6319521,840,17,153,"RIO GRNDS RS",37.7792747,-107.0036239,33,2,8,1
6319605,840,17,305,"NUNN",40.8627005,-104.6390073,0,0,3,1
6319370,840,17,34,"LOST LAKE",40.8716166,-105.9079302,60,7,1,1
